trial,attention_epoch,n_post_epochs,best_val_epoch,best_val_acc,test_at_best_val,best_optim_epoch,best_optim_num,best_log_optim_num,test_at_best_optim
0,3,26,27,0.839209,75.84325396825396,26,1.6631019570331652e-09,-20.214581329515028,75.64484126984127
1,7,22,8,0.82363,79.41468253968254,18,1.7403835736305103e-09,-20.16916030339908,78.34821428571429
2,14,15,18,0.870821,80.55555555555556,29,1.7392332771592599e-09,-20.169821466143418,80.70436507936508
3,4,25,26,0.699113,69.09722222222223,26,1.4038562953786162e-09,-20.384042890300226,69.09722222222223
4,23,6,28,0.845577,76.28968253968254,29,1.6161215269043177e-09,-20.243236677382782,76.11607142857143
5,15,14,29,0.819081,71.65178571428571,29,1.5850144722201992e-09,-20.262672298920556,71.65178571428571
6,13,16,28,0.869115,80.75396825396825,19,1.8025654201357908e-09,-20.134054953316664,80.95238095238095
7,16,13,26,0.861496,78.64583333333333,29,1.7221765946688707e-09,-20.17967688412646,78.49702380952381
8,28,1,29,0.858881,79.83630952380952,29,1.720045832329958e-09,-20.180914899772603,79.83630952380952
10,9,20,29,0.779281,70.56051587301587,29,1.589790517674265e-09,-20.25966357928445,70.56051587301587
11,9,16,24,0.823175,78.14980158730158,10,1.7559898389395104e-09,-20.160233128231145,78.00099206349206
27,12,17,28,0.878895,80.80357142857143,26,1.7372412753410938e-09,-20.17096745585575,80.80357142857143
34,8,21,20,0.872527,82.44047619047619,22,1.7425216040448292e-09,-20.167932575066665,82.34126984126983
36,11,18,26,0.846031,76.28968253968254,26,1.6545293040117609e-09,-20.219749277021247,76.28968253968254
